"","symbol"
"874","RPS6KA5"
"875","PAK4"
"876","DAG1"
"877","HIBADH"
"878","SAMD12"
"879","BARD1"
"880","AP2A2"
"881","PRKAR1B"
"882","CEP68"
"883","CCDC91"
"884","MLF2"
"885","MRTFB"
"886","H2BC20P"
"887","SPTBN1"
"888","SMC1A"
"889","SMC4"
"890","TCF7L2"
"891","SPTLC2"
"892","SPC24"
"893","NSMF"
"894","ACBD6"
"895","GLG1"
"896","NT5C2"
"897","CTSL"
"898","FSTL3"
"899","SNHG15"
"900","HPS6"
"901","RBM48"
"902","TEPSIN"
"903","EPS8L2"
"904","XXYLT1"
"905","SREBF2"
"906","ATE1"
"907","DELEC1"
"908","SLC7A5"
"909","CDC6"
"910","ELAPOR1"
"911","UVRAG"
"912","MOAP1"
"913","SEL1L3"
"914","PCDH9"
"915","CHCHD7"
"916","NAP1L1"
"917","SOX6"
"918","ACAD10"
"919","XRCC5"
"920","LTBP2"
"921","HMGA2"
"922","R3HDM2"
"923","TRAPPC9"
"924","CCNL2"
"925","PGM1"
"926","KCTD13"
"927","PDE9A"
"928","RAI14"
"929","TM4SF4"
"930","LAMB1"
"931","PIGU"
"932","UXS1"
"933","RCOR1"
"934","DNAAF5"
"935","MCM4"
"936","AFAP1L2"
"937","GLTP"
"938","PPM1D"
"939","VTI1A"
"940","TBC1D1"
"941","TOPBP1"
"942","SMAP1"
"943","ADCY3"
"944","HLTF"
"945","ITGA1"
"946","SLC25A23"
"947","UBE2E2"
"948","ZNF37A"
"949","IFT81"
"950","LGMN"
"951","DEK"
"952","CWC27"
"953","TUFT1"
"954","XRCC4"
"955","NUBPL"
"956","ATP2B4"
"957","LINC01089"
"958","TP53RK"
"959","AKAP13"
"960","CASP10"
"961","KLHL29"
"962","PTPRS"
"963","TTC28"
"964","MMAB"
"965","POU2F1"
"966","SLC41A1"
"967","MRPL32"
"968","FUT8"
"969","HNRNPA3"
"970","VWCE"
"971","CYP7B1"
"972","KIRREL1"
"973","DCBLD2"
"974","STOM"
"975","KLHL4"
"976","ZNF195"
"977","RHBDD2"
"978","SIRT7"
"979","ATG7"
"980","LRRFIP1"
"981","WNK4"
"982","WDR74"
"983","TGFBR2"
"984","C17orf80"
"985","PPP2R2C"
"986","CENPI"
"987","ACLY"
"988","RPL22L1"
"989","CCNL1"
"990","MED23"
"991","TMEM178B"
"992","TAF7"
"993","ZNF425"
"994","NFKBIE"
"995","MTCL1"
"996","TRIP13"
"997","UNKL"
"998","EXOC2"
"999","PHYH"
"1000","DNAJC10"
"1001","KIF18A"
"1002","RPS27L"
"1003","WNT7B"
"1004","AARS1"
"1005","GLCE"
"1006","MAP2"
"1007","MRTFA"
"1008","GPATCH2L"
"1009","LAMA3"
"1010","QKI"
"1011","PDGFC"
"1012","CAPN12"
"1013","ROR1"
"1014","MAP2K6"
"1015","PAWR"
"1016","JAK1"
"1017","TENT5A"
"1018","SCAPER"
"1019","ZBTB39"
"1020","NARS2"
"1021","USP34"
"1022","GANAB"
"1023","DLG1"
"1024","TTC27"
"1025","SPC25"
"1026","FRAS1"
"1027","PPARG"
"1028","KDM4B"
"1029","INVS"
"1030","HLA-C"
"1031","PLEC"
"1032","HJURP"
